dataset_name,url,source_region,source_platform,label_format,collection,notes,durum_bizde,rol,gerekce,bizde_kaynak_adi
KDD21 / UCR Anomaly Series 148,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 149,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 150,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 151,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 152,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 153,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 154,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 155,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 156,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 157,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 158,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 159,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 160,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 161,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 162,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 163,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 164,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 165,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 166,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 167,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 168,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 169,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 170,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 171,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 172,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 173,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 174,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 175,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 176,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 177,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 178,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 179,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 180,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 181,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 182,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 183,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 184,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 185,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 186,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 187,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 188,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 189,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 190,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 191,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 192,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 193,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 194,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 195,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 196,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 197,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 198,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 199,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 200,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 201,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 202,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 203,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 204,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 205,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 206,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 207,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 208,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 209,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 210,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 211,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 212,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 213,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 214,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 215,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 216,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 217,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 218,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 219,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 220,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 221,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 222,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 223,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 224,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 225,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 226,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 227,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 228,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 229,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 230,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 231,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 232,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 233,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
